"SPECIES","GENUS","EPITHET","AUTHOR","COUNTRY","DEPARTAMENTO","MUNICIPIO","LOCALIDAD","LATITUD","LONGITUD","ALTURA","HABITAT"
"Specklinia acrisepala","Specklinia","acrisepala","Ames & C. Schweinf.","Honduras","Atlántida","","Lancetilla near Tela: bosque secundario y primario muy perturbado, cerca la Río Lancetilla, arriba del Estación Experimental. ",15.71666,-87.45833,"40 - 180 m","Epiphyte"
"Dichaea acroblephara","Dichaea","acroblephara","Schltr.","Honduras","Comayagua","Taulabé","Pito Solo, Lake Yojoa ",14.79666,-87.97416,"2000 f","Terrestrial"
"Lepanthes acuminata","Lepanthes","acuminata","Schltr.","Honduras","Ocotepeque","Belén Gualcho","Municipio Belén Gualcho: Cordillera de Celaque, 3 mi N of Belén Gualcho along road to Cucuyagua. Podocarpus-Quercus-Liquidambar forest remnant among pastures. ",14.50166,-88.80055,"1870 m","Epiphyte"
"Lepanthes acuminata","Lepanthes","acuminata","Schltr.","Honduras","Ocotepeque","Belen Gualcho","Belen Gualcho",14.50554444,-88.75842778,"1870","Epiphyte"
"Lepanthes acuminata","Lepanthes","acuminata","Schltr.","Honduras","La Paz","","La Florida de Marcala",14.11495278,-88.01404167,"1400","Epiphyte"
"Lepanthes acuminata","Lepanthes","acuminata","Schltr.","Honduras","Comayagua","","Montaña de San Juanillo",14.48287778,-87.88563889,"1900","Epiphyte"
"Lepanthes acuminata","Lepanthes","acuminata","Schltr.","Honduras","Comayagua","La Danta","Montana de San Juanillo",14.48287778,-87.88563889,"1900","Epiphyte"
"Lepanthes acuminata","Lepanthes","acuminata","Schltr.","Honduras","Comayagua","","(San Juanillo) Bosque nublado latifoliado al lado del camino el Danto a Jesus de Otoro. Montaña de San Juanillo, Reserva Biológica Cordillera de Montecillos. Sobre tronco de árbol.",14.5,-87.88333,"1900 m","Epiphyte"
"Lepanthes acuminata","Lepanthes","acuminata","Schltr.","Honduras","La Paz","Sabanetas","Cordillera Guajiquiro",14.11440833,-87.83902778,"2100","Epiphyte"
"Lepanthes acuminata","Lepanthes","acuminata","Schltr.","Honduras","Francisco Morazán","","La Montañita",14.05272222,-87.11220556,"1800","Epiphyte"
"Lepanthes acuminata","Lepanthes","acuminata","Schltr.","Honduras","Francisco Morazán","","Cerro Uyuca",14.03035833,-87.07002222,"1500","Epiphyte"
"Lepanthes acuminata","Lepanthes","acuminata","Schltr.","Honduras","Francisco Morazán","","Cerro Uyuca",14.03129167,-87.06966389,"1800","Epiphyte"
"Lepanthes acuminata","Lepanthes","acuminata","Schltr.","Honduras","Francisco Morazán","","Cerro Uyuca",14.03129167,-87.06966389,"1800","Epiphyte"
"Lepanthes acuminata","Lepanthes","acuminata","Schltr.","Honduras","Francisco Morazán","","Cerro Uyuca",14.02997222,-87.06786389,"1800","Epiphyte"
"Lepanthes acuminata","Lepanthes","acuminata","Schltr.","Honduras","Olancho","Gualaco","La Chorrera",15.00148333,-85.92878611,"1086","Epiphyte"
"Lepanthes acuminata","Lepanthes","acuminata","Schltr.","Honduras","Olancho","Gualaco","La Chorrera",15.00148333,-85.92878611,"1626","Epiphyte"
"Maxillaria acutifolia","Maxillaria","acutifolia","Lindl.","Honduras","Francisco Morazán","","Sheet ",14.968627,-87.901169,"","Terrestrial"
"Habenaria crassicornis","Habenaria","crassicornis","Lindl.","Honduras","Olancho","","",14.819222,-86.619143,"","Terrestrial"
"Habenaria crassicornis","Habenaria","crassicornis","Lindl.","Honduras","Comayagua","Comayagua","Comayagua",14.49102778,-87.66675,"0","Terrestrial"
"Encyclia adenocarpa","Encyclia","adenocarpa","(La Llave & Lex.) Schltr.","Honduras","La Paz","Jesus de Otoro","Valle de Jesus de Otoro",14.49530556,-87.98877778,"600","Epiphyte"
"Encyclia adenocarpa","Encyclia","adenocarpa","La Llave & Lex.","Honduras","Choluteca","Choluteca","Choluteca",13.30838889,-87.12097222,"50","Epiphyte"
"Encyclia adenocarpa","Encyclia","adenocarpa","La Llave & Lex.","Honduras","Cortés","Santa Cruz de Yojoa","Agua Azul Sierra",14.92547778,-87.96854167,"650","Epiphyte"
"Pelexia adnata","Pelexia","adnata","(Sw.) León","Honduras","Comayagua","Ojo de Agua","Ojos de Agua, orilla Río Humuya, 30 km N de ciudad Comayagua. Bosque de vega tropical rodeado de pinares  ",14.76527,-87.64583,"350 m","Terrestrial"
"Cohniella ascendens","Cohniella","ascendens","(Lindl.) Christenson","Honduras","Comayagua","Ojo de Agua","Ojos de Agua, orilla Río Humuya, 30 km N de ciudad Comayagua. Bosque de vega tropical rodeado de pinares  ",14.76527,-87.64583,"350 m","Terrestrial"
"Cohniella ascendens","Cohniella","ascendens","(Lindl.) Christenson","Honduras","Santa Bárbara","","Rio Sisicapa",15.05,-88.217,"315","Terrestrial"
"Habenaria alata","Habenaria","alata","Hook.","Honduras","Comayagua","Siguatepeque","km 157, Tegucigalpa highway, north of Siguatepeque ",14.65,-87.93333,"3400 f","Terrestrial"
"Habenaria alata","Habenaria","alata","Hook.","Honduras","Yoro","El Progreso","Vicinity of El Progreso.",15.4,-87.8,"50 m","Terrestrial"
"Encyclia alata","Encyclia","alata","(Bateman) Schltr.","Honduras","Comayagua","","",14.78723889,-87.77963611,"","Epiphyte"
"Encyclia alata","Encyclia","alata","(Bateman) Schltr.","Honduras","Comayagua","Siguatepeque","Barranco de Trincheras",14.73741667,-87.77094444,"900","Epiphyte"
"Habenaria alata","Habenaria","alata","Hook.","Honduras","Comayagua","","Meambar",14.7759,-87.76678056,"800","Terrestrial"
"Encyclia alata","Encyclia","alata","(Bateman) Schltr.","Honduras","Comayagua","La Libertad","La Libertad  ",14.75861,-87.60944,"2500 f","Epiphyte"
"Encyclia alata","Encyclia","alata","(Bateman) Schltr.","Honduras","Comayagua","","",14.75734444,-87.59313611,"","Epiphyte"
"Encyclia alata","Encyclia","alata","(Bateman) Schltr.","Honduras","Atlántida","Tela","Jardin Botanico de Lancetilla",15.73598056,-87.45518611,"200","Epiphyte"
"Encyclia alata","Encyclia","alata","(Bateman) Schltr.","Honduras","Francisco Morazán","Tegucigalpa","On North Road from Tegucigalpa.",14.208527,-87.220285,"","Epiphyte"
"Encyclia alata","Encyclia","alata","(Bateman) Schltr.","Honduras","Francisco Morazán","Distrito Central","Tegucigalpa, El Hatillo. Campo abierto. ",14.12972,-87.16444,"1300 m","Epiphyte"
"Habenaria alata","Habenaria","alata","Hook.","Honduras","Francisco Morazán","","Agua Amarilla",14.03397222,-87.08244444,"1100","Terrestrial"
"Habenaria alata","Habenaria","alata","Hook.","Honduras","Francisco Morazán","","Cerro Uyuca",14.014,-87.08119444,"1700","Terrestrial"
"Habenaria alata","Habenaria","alata","Hook.","Honduras","Francisco Morazán","","Cerro Uyuca",14.014,-87.08119444,"1600","Terrestrial"
"Habenaria alata","Habenaria","alata","Hook.","Honduras","Francisco Morazán","Cerro de Uyuca","Las Flores",14.03129167,-87.06966389,"1600","Terrestrial"
"Habenaria alata","Habenaria","alata","Hook.","Honduras","Francisco Morazán","Cerro de Uyuca","Las Flores",14.03129167,-87.06966389,"1600","Terrestrial"
"Habenaria alata","Habenaria","alata","Hook.","Honduras","Francisco Morazán","San Antonio de Oriente","San Juan del Rancho",14.08588889,-87.06425,"1500","Terrestrial"
"Habenaria alata","Habenaria","alata","Hook.","Honduras","Francisco Morazán","San Antonio de Oriente","San Juan del Rancho, N of Cerro de Uyuca.  ",14.08277,-87.06416,"1500 m","Terrestrial"
"Habenaria alata","Habenaria","alata","Hook.","Honduras","Francisco Morazán","San Antonio de Oriente","EAP, El Zamorano",14.01025,-87.01055556,"800","Terrestrial"
"Habenaria alata","Habenaria","alata","Hook.","Honduras (HN)","Francisco Morazán","San Antonio de Oriente","Cerca de la planta Hortofrutícola en el Campus de la Escuela Agrícola Panamericana",14.017914,-86.998998,"790","Terrestrial"
"Encyclia alata","Encyclia","alata","(Bateman) Schltr.","Honduras","El Paraíso","","Galeras",13.91619444,-86.984,"950","Epiphyte"
"Habenaria alata","Habenaria","alata","Hook.","Honduras","El Paraíso","Guinope","Cumbre, on the highway leading from Güinope to Manzaragua ",13.84555,-86.9675,"1440 m","Terrestrial"
"Habenaria alata","Habenaria","alata","Hook.","Honduras","El Paraíso","Paraiso","",13.88268,-86.935214,"","Terrestrial"
"Encyclia alata","Encyclia","alata","(Bateman) Schltr.","Honduras","Francisco Morazán","","Santa Clara creek",14.05019444,-86.92638889,"850","Epiphyte"
"Habenaria alata","Habenaria","alata","Hook.","Honduras","El Paraíso","Moroceli","",14.141679,-86.835528,"","Terrestrial"
"Encyclia alata","Encyclia","alata","(Bateman) Schltr.","Honduras","Yoro","","Aguan River Valley, vicinity of Cotoles: near the village of Los Flores",15.392837,-86.733592,"335","Epiphyte"
"Encyclia alata","Encyclia","alata","(Bateman) Schltr.","Honduras","Yoro","","Aguan River Valley, vicinity of Coyotes. Near the village of Los Flores",15.392837,-86.733592,"","Epiphyte"
"Encyclia alata","Encyclia","alata","(Bateman) Schltr.","Honduras","Olancho","Campamento","Montaña Chifiringo",14.57589444,-86.70641944,"1000","Epiphyte"
"Habenaria alata","Habenaria","alata","Hook.","Honduras","Yoro","Olanchito","Aguan River valley, vicinity of Coyoles. Near village of Las Flores. June to August 1938  ",15.5233334,-86.6786111,"600 - 1100 ft","Terrestrial"
"Encyclia alata","Encyclia","alata","(Bateman) Schltr.","Honduras","El Paraíso","Danli","",14.035952,-86.595024,"","Epiphyte"
"Encyclia alata","Encyclia","alata","(Bateman) Schltr.","Honduras","El Paraíso","Danli","",14.035952,-86.595024,"","Epiphyte"
"Encyclia alata","Encyclia","alata","(Bateman) Schltr.","Honduras","El Paraíso","Danli","",14.035952,-86.595024,"","Epiphyte"
"Encyclia alata","Encyclia","alata","(Bateman) Schltr.","Honduras","El Paraíso","Danlí","Danli ",14.03333,-86.58333,"750 m","Epiphyte"
"Encyclia alata","Encyclia","alata","(Bateman) Schltr.","Honduras","El Paraíso","","Sierra de la Villa Santa",14.17625,-86.32419444,"1300","Epiphyte"
"Habenaria alata","Habenaria","alata","Hook.","Honduras","Gracias a Dios","Brus Laguna","Rio Platano",15.58083333,-84.97716667,"0","Terrestrial"
"Encyclia alata","Encyclia","alata","(Bateman) Schltr.","Honduras","Gracias a Dios","Rio Platano","Rio Platano.",15.503741,-84.754651,"","Epiphyte"
"Encyclia alata","Encyclia","alata","(Bateman) Schltr.","Honduras","Gracias a Dios","Brus Laguna","Alrededores el Río Plátano, dentro de 10 km de la costa atlántica, La Mosquitia, Longitud 84º 40' a 85º00' latitud 15º 30-55'. Bosque pantanoso   ",15.5,-84.71666,"","Epiphyte"
"Encyclia alata","Encyclia","alata","(Bateman) Schltr.","Honduras","Gracias a Dios","","",15.74491944,-84.55991389,"-9999","Epiphyte"
"Encyclia alata","Encyclia","alata","(Bateman) Schltr.","Honduras","Comayagua","","",14.78723889,-87.77963611,"","Epiphyte"
"Encyclia ambigua","Encyclia","ambigua","Lindl.","Honduras","Comayagua","","",14.75734444,-87.59313611,"","Epiphyte"
"Encyclia alata","Encyclia","alata","Bateman","Honduras","Olancho","Catacamas","Trail between La Chorrera campsite and 1,900 m camp on ridge. Transition zone between tropical humid forest and submontane forest, composed of diverse hardwood species 30-40 m tall. ",14.9705556,-85.9266667,"1100 - 1900 m","Epiphyte"
"Encyclia alata","Encyclia","alata","Bateman","Honduras","La Paz","","La Florida de Marcala",14.11495278,-88.01404167,"1400","Epiphyte"
"Encyclia ambigua","Encyclia","ambigua","Lindl.","Honduras"," Cortés ","","",14.99796389,-87.89743333,"","Epiphyte"
"Isochilus alatus","Isochilus","alatus","Schltr.","Honduras","Cortés","Santa Cruz de Yojoa","Santa Cruz de Yojoa   ",14.9825,-87.89027,"2000 f","Epiphyte"
"Maxillaria alba","Maxillaria","alba","(Hook.) Lindl.","Honduras (HN)","El Paraíso","El Paraíso","Vieja plantación de cítricos, frente a la Escuela de Río Arriba, ca. 2 Km al S de El Paraíso.",14.017914,-86.998998,"","Epiphyte"
"Maxillaria alba","Maxillaria","alba","(Hook.) Lindl.","Honduras","Comayagua","","Located on the crest of trail to San Juanillo of the Cordillera de Montecillos. Cloud forest of mixed hardwood species.  ",14.5,-88.88333,"2040 m","Epiphyte"
"Maxillaria alba","Maxillaria","alba","(Hook.) Lindl.","Honduras","Comayagua","","San Juanillo",14.44038889,-87.84941667,"2040","Epiphyte"
"Acianthera sicaria","Acianthera","sicaria","Ames","Honduras","Francisco Morazán","","Jutiapa",14.18608056,-87.13065,"1600","Epiphyte"
"Arpophyllum alpinum","Arpophyllum","alpinum","Lindl.","Honduras","Francisco Morazán","San Juancito","Montana de La Tigra",14.24402778,-87.11827778,"2000","Terrestrial"
"Arpophyllum alpinum","Arpophyllum","alpinum","Lindl.","Honduras","Francisco Morazán","","Cerro Uyuca",14.014,-87.08119444,"2000","Terrestrial"
"Arpophyllum alpinum","Arpophyllum","alpinum","Lindl.","Honduras","Francisco Morazán","","San Juancito",14.22152778,-87.07130556,"2000","Terrestrial"
"Arpophyllum alpinum","Arpophyllum","alpinum","Lindl.","Honduras","El Paraíso","","Montana El Volcan",14.11472222,-86.7505,"1950","Terrestrial"
"Arpophyllum alpinum","Arpophyllum","alpinum","Lindl.","Honduras","Santa Bárbara","","El Filo",14.97830556,-85.92308333,"2400","Terrestrial"
"Arpophyllum alpinum","Arpophyllum","alpinum","Lindl.","Honduras","Cortés","","Rancho Agua Azul",14.9,-87.95,"630","Terrestrial"
"Arpophyllum alpinum","Arpophyllum","alpinum","Lindl.","Honduras","Yoro","","Slopes above E part of San José in the Río Leán Valley, between Río  Texíguat and Río Guán Guán, slopes of Cordillera de Nombre de Dios, secondary forest and clearings in  primary forest. ",15.50833,-87.45,"200 - 600 m","Terrestrial"
"Arpophyllum alpinum","Arpophyllum","alpinum","Lindl.","Honduras (HN)","El Paraíso","Guinope","Lavanderos",13.969128,-86.86682,"1600","Terrestrial"
"Eulophia alta","Eulophia","alta","(L.) Fawc. &  Rendle","Honduras","Santa Bárbara","","Cerro El Zarzal",14.92509444,-88.21383611,"600","Terrestrial"
"Eulophia alta","Eulophia","alta","(L.) Fawc. &  Rendle","Honduras","Francisco Morazán","Distrito Central","In cloud forest area in mountains SW of San Juancito   ",14.2211111,-87.0669445,"2000 m","Terrestrial"
"Eulophia alta","Eulophia","alta","(L.) Fawc. &  Rendle","Honduras","Comayagua","","Cerro de La Cruz",14.75136667,-87.58666667,"1400","Terrestrial"
"Oncidium altissimum","Oncidium","altissimum","(Jacq.) Sw.","Honduras","Francisco Morazán","","Piedra Herrada",13.79708333,-87.54588889,"1500","Epiphyte"
"Sobralia amabilis","Sobralia","amabilis","(Rchb.fil.) L.O.Williams","Honduras","Atlántida","Tela","Lancetilla",15.76675,-87.4575,"50","Terrestrial"
"Encyclia ambigua","Encyclia","ambigua","(Lindl.) Schltr.","Honduras","Francisco Morazán","Tegucigalpa","",14.07193056,-87.16935278,"-9999","Epiphyte"
"Encyclia ambigua","Encyclia","ambigua","(Lindl.) Schltr.","Honduras (HN)","Francisco Morazán","Tatumbla","Montaña de Azacualpa ",13.92398,-87.126457,"","Epiphyte"
"Encyclia ambigua","Encyclia","ambigua","(Lindl.) Schltr.","Honduras","Francisco Morazán","","La Montañita",14.05093056,-87.09166944,"1500","Epiphyte"
"Encyclia ambigua","Encyclia","ambigua","(Lindl.) Schltr.","Honduras","Francisco Morazán","San Antonio de Oriente","Piedra Herrada about 15 km E of Tegucigalpa. ",14.04777,-87.08,"1500 m","Epiphyte"
"Encyclia ambigua","Encyclia","ambigua","(Lindl.) Schltr.","Honduras","Francisco Morazán","","Zammorana Road.",14.00999,-87,"","Epiphyte"
"Encyclia ambigua","Encyclia","ambigua","(Lindl.) Schltr.","Honduras","Francisco Morazán","","Zelmorrana rd.",14.00999,-87,"","Epiphyte"
"Encyclia ambigua","Encyclia","ambigua","(Lindl.) Schltr.","Honduras","El Paraíso","San Lucas","Municipio San Lucas: ca. 6.5 mi S of Mansaragua by road, along road between El Zamorano and Morolica. Pine forest. ",13.76027,-86.96666,"1380 m","Epiphyte"
"Encyclia ambigua","Encyclia","ambigua","(Lindl.) Schltr.","Honduras","El Paraíso","","San Lucas",13.74052778,-86.95344444,"1380","Epiphyte"
"Encyclia ambigua","Encyclia","ambigua","(Lindl.) Schltr.","Honduras","El Paraíso","","Jacaleapa, Pariso.",14.020427,-86.670193,"","Epiphyte"
"Encyclia ambigua","Encyclia","ambigua","(Lindl.) Schltr.","Honduras","El Paraíso","","Jacaleapa-Parieso.",14.020427,-86.670193,"","Epiphyte"
"Encyclia ambigua","Encyclia","ambigua","(Lindl.) Schltr.","Honduras","El Paraíso","","Jacaleapo, Paraiso.",14.020427,-86.670193,"","Epiphyte"
"Encyclia ambigua","Encyclia","ambigua","(Lindl.) Schltr.","Honduras","El Paraíso","","Paraiso, Jacaleapa.",14.020427,-86.670193,"","Epiphyte"
"Encyclia ambigua","Encyclia","ambigua","(Lindl.) Schltr.","Honduras","El Paraíso","Jacaleapa","Jacaleapa ",14.01666,-86.66666,"800 m","Epiphyte"
"Encyclia ambigua","Encyclia","ambigua","(Lindl.) Schltr.","Honduras","Comayagua","Siguatepeque","Barranco de Trincheras",14.65108611,-87.95825833,"1200","Epiphyte"
"Encyclia ambigua","Encyclia","ambigua","(Lindl.) Schltr.","Honduras","Comayagua","Siguatepeque","Barranco de Trincheras",14.65108611,-87.95825833,"1300","Epiphyte"
"Encyclia ambigua","Encyclia","ambigua","(Lindl.) Schltr.","Honduras","Comayagua","San Jeronimo","Montana La Choca",14.58023889,-87.53185278,"1500","Epiphyte"
"Restrepia trichoglossa","Restrepia","trichoglossa","L. O. Williams","Honduras","Francisco Morazán","","Valle de Angeles.",14.160814,-87.03966,"1800","Epiphyte"
"Restrepia trichoglossa","Restrepia","trichoglossa","L. O. Williams","Honduras","Olancho","Catacamas","Parque Nacional de Agalta",14.95513333,-85.95206111,"1300","Epiphyte"
"Restrepia trichoglossa","Restrepia","trichoglossa","L. O. Williams","Honduras","Cortés","","Sula Valley. Collected by F. Matthews.
Fl in cult.",15.499085,-87.942515,"","Epiphyte"
"Isochilus amparoanus","Isochilus","amparoanus","Schltr.","Honduras","Cortés","","Sula Valley.
Fl in cult.",15.499085,-87.942515,"","Terrestrial"
"Isochilus amparoanus","Isochilus","amparoanus","Schltr.","Honduras","Olancho","","",15,-84,"","Terrestrial"
"Rossioglossum ampliatum","Rossioglossum","ampliatum","(Lindl.) Dressler & N. H. Williams","Honduras","Copán","","El Pinal",14.78115556,-88.71673611,"1100","Epiphyte"
"Rossioglossum ampliatum","Rossioglossum","ampliatum","(Lindl.) M.W.Chase & N.H.Williams","Honduras","Santa Bárbara","","Cerro Santa Bárbara",14.911375,-88.10172222,"1075","Epiphyte"
"Rossioglossum ampliatum","Rossioglossum","ampliatum","Lindl.","Honduras","Cortés","","Finca fe",14.957442,-88.033158,"","Epiphyte"
"Epidendrum anceps","Epidendrum","anceps","Jacq.","Honduras"," Cortés ","","",15.03678333,-87.99715556,"","Epiphyte"
"Epidendrum anceps","Epidendrum","anceps","Jacq.","Honduras","Cortés","San Francisco de Yojoa","Rio Lindo",15.05327778,-87.98136111,"550","Epiphyte"
"Epidendrum anceps","Epidendrum","anceps","Jacq.","Honduras","Comayagua","Siguatepeque","Pito Solo",14.7895,-87.97986111,"500","Epiphyte"
"Epidendrum anceps","Epidendrum","anceps","Jacq.","Honduras"," Cortés ","","",14.99796389,-87.89743333,"","Epiphyte"
"Epidendrum anceps","Epidendrum","anceps","Jacq.","Honduras","Cortés","Santa Cruz de Yojoa","Lago de Yojoa",14.99319444,-87.88005556,"630","Epiphyte"
"Epidendrum anceps","Epidendrum","anceps","Jacq.","Honduras","Atlántida","Tela","Lancetilla Valley, near Tela.",15.7111111,-87.4577778,"20 - 600 m","Epiphyte"
"Epidendrum anceps","Epidendrum","anceps","Jacq.","Honduras","Francisco Morazán","","Montana de Yerba Buena",14.13491667,-87.45533333,"0","Epiphyte"
"Epidendrum anceps","Epidendrum","anceps","Jacq.","Honduras","Comayagua","","",14.7717,-87.39866667,"","Epiphyte"
"Epidendrum anceps","Epidendrum","anceps","Jacq.","Honduras","Francisco Morazán","Tegucigalpa","Tegucigalpa",14.08091667,-87.21647222,"1300","Epiphyte"
"Schomburgkia anceps","Schomburgkia","anceps","Lindl.","Honduras","Francisco Morazán","Tegucigalpa","Tegucigalpa",14.08091667,-87.21647222,"0","Terrestrial"
"Epidendrum anceps","Epidendrum","anceps","Jacq.","Honduras","Comayagua","","La Ensenada",15.73693333,-87.18488333,"600","Epiphyte"
"Epidendrum anceps","Epidendrum","anceps","Jacq.","Honduras","Francisco Morazán","","Las Mesas",14.04488889,-87.02852778,"900","Epiphyte"
"Schomburgkia anceps","Schomburgkia","anceps","Lindl.","Honduras","Olancho","","",14.819222,-86.619143,"","Terrestrial"
"Epidendrum anceps","Epidendrum","anceps","Jacq.","Honduras","Olancho","","",14.819222,-86.619143,"","Epiphyte"
"Epidendrum anceps","Epidendrum","anceps","Jacq.","Honduras","Olancho","Catacamas","Catacamas",14.85388889,-85.90266667,"400","Epiphyte"
"Epidendrum anceps","Epidendrum","anceps","Jacq.","Honduras"," Cortés ",""," Lake Yojoa J. B. Edwards 292 1932-10-21 ",14.93844722,-88.02282222,"","Epiphyte"
"Epidendrum anceps","Epidendrum","anceps","Jacq.","Honduras","Comayagua","Siguatepeque","Near Siguatepeque, June to August 1936             ",14.5833333,-87.85,"1050 m","Epiphyte"
"Epidendrum anceps","Epidendrum","anceps","Jacq.","Honduras","Cortés","","Manacal Ranch, Cortés",15.40784,-88.140344,"","Epiphyte"
"Acianthera angustifolia","Acianthera","angustifolia","(Lindl.) Luer","Honduras","Atlántida","Tela","Lancetilla Valley, near Tela. ",15.7111111,-87.4577778,"20 - 600 m","Epiphyte"
"Epidendrum angustilobum","Epidendrum","angustilobum","Fawc. &  Rendle","Honduras","Atlántida","La Ceiba","Quebrada Grande",15.55664722,-86.87099167,"80","Epiphyte"
"Epidendrum angustilobum","Epidendrum","angustilobum","Fawc. &  Rendle","Honduras","Comayagua","","",14.79071944,-87.37063611,"","Epiphyte"
"Wullschlaegelia aphylla","Wullschlaegelia","aphylla","(Sw.) Rchb.fil.","Honduras","Francisco Morazán","","Parque Nacional La Tigra",14.21924722,-87.08244722,"-9999","Terrestrial"
"Wullschlaegelia aphylla","Wullschlaegelia","aphylla","(Sw.) Rchb.fil.","Honduras","Olancho","Campamento","Montaña Cara Sucia",14.57589444,-86.70641944,"1000","Terrestrial"
"Brassavola cucullata","Brassavola","cucullata","A. Rich. & Galeotti","Honduras","Olancho","Campamento","Montaña Cara Sucia",14.57589444,-86.70641944,"1200","Epiphyte"
"Lepanthes appendiculata","Lepanthes","appendiculata","Ames","Honduras","Olancho","","Juticalpa.",14.651081,-86.22574,"","Epiphyte"
"Lepanthes appendiculata","Lepanthes","appendiculata","Ames","Honduras","Comayagua","","La Ensenada",15.73693333,-87.18488333,"600","Epiphyte"
"Lepanthes appendiculata","Lepanthes","appendiculata","Ames","Honduras","El Paraíso","El Paraíso","Volcancitos",13.81771111,-86.5377,"900","Epiphyte"
"Lepanthes appendiculata","Lepanthes","appendiculata","Ames","Honduras","Francisco Morazán","","Cerro Uyuca",14.014,-87.08119444,"1500","Epiphyte"
"Stelis aprica","Stelis","aprica","Lindl.","Honduras","Francisco Morazán","","Cerro Uyuca",14.014,-87.08119444,"1700","Epiphyte"
"Stelis aprica","Stelis","aprica","Lindl.","Honduras","Francisco Morazán","","Cerro Uyuca",14.014,-87.08119444,"1800","Epiphyte"
"Epidendrum arbuscula","Epidendrum","arbuscula","Lindl.","Honduras","Cortés","","Lake Yoja vicinity.
Fl in cult.",14.8994316,-87.990639,"","Epiphyte"
"Epidendrum arbuscula","Epidendrum","arbuscula","Lindl.","Honduras","Cortés","Santa Cruz de Yojoa","Near Agua Azul, Lake Yojoa. ",14.89666,-87.94833,"630 m","Epiphyte"
"Epidendrum arbuscula","Epidendrum","arbuscula","Lindl.","Honduras"," Cortés ","","",14.99796389,-87.89743333,"","Epiphyte"
"Brassia arcuigera","Brassia","arcuigera","Rchb.fil.","Honduras","Comayagua",""," Siguatepeque J. B. Edwards 264 1932-9-27 ",14.60773611,-87.88429722,"","Epiphyte"
"Bulbophyllum sordidum","Bulbophyllum","sordidum","(Rchb. fil.) Hemsl.","Honduras","Cortés","Santa Cruz de Yojoa","Lago de Yojoa",14.99319444,-87.88005556,"630","Epiphyte"
"Bulbophyllum sordidum","Bulbophyllum","sordidum","(Rchb. fil.) Hemsl.","Honduras","Comayagua","Siguatepeque","El Achiote",14.54963889,-87.85077778,"1182","Epiphyte"
"Bulbophyllum sordidum","Bulbophyllum","sordidum","(Rchb. fil.) Hemsl.","Honduras","Olancho","","",14.819222,-86.619143,"","Epiphyte"
"Bulbophyllum sordidum","Bulbophyllum","sordidum","(Rchb. fil.) Hemsl.","Honduras","Ocotepeque","","La Montanita",14.53235278,-88.82687222,"1600","Epiphyte"
"Bulbophyllum sordidum","Bulbophyllum","sordidum","(Rchb. fil.) Hemsl.","Honduras","Intibucá","","La Esperanza",14.302443,-88.168755,"","Epiphyte"
"Bulbophyllum sordidum","Bulbophyllum","sordidum","(Rchb. fil.) Hemsl.","Honduras","Intibucá","","La Esperanza. Pressed.",14.302443,-88.168755,"","Epiphyte"
